# Field extents   
# Reference position: (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Threshold       : 5.0000000000e-01
# Time            	alpha_internal    
0.00011976        (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
0.00026382        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.000436945       (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.000645062       (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.000893202       (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00119175        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00154662        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00197577        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00249075        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00311608        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00385016        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00447131        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00517716        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00600065        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00693394        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00793902        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0089441         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.00994918        (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0109543         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0119593         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0129644         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0139695         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0149746         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0159797         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0169848         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0179898         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.0189949         (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.02              (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.021             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.022             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.023             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.024             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.025             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.026             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.027             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.028             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.029             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.03              (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.031             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.032             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.033             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
0.034             (1.2708333335e-01 9.9375000000e-01 1.0050000000e+00) (6.2291666665e-01 9.9791666665e-01 1.0050000000e+00)
