# Region type :   patch inlet
# Faces           : 120
# Area            : 5.0000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.00011976        	-3.8477481068e-02
0.00026382        	-4.1028418831e-02
0.000436945       	-4.5127799747e-02
0.000645062       	-4.9614405861e-02
0.000893202       	-5.3995249819e-02
0.00119175        	-5.7754265732e-02
0.00154662        	-6.0490554008e-02
0.00197577        	-6.2430893584e-02
0.00249075        	-6.3559000266e-02
0.00311608        	-6.4381332109e-02
0.00385016        	-6.4307427658e-02
0.00447131        	-5.8587292086e-02
0.00517716        	-5.8920261896e-02
0.00600065        	-5.9422838919e-02
0.00693394        	-5.9367435786e-02
0.00793902        	-5.8482323930e-02
0.0089441         	-5.6574407680e-02
0.00994918        	-5.5064083418e-02
0.0109543         	-5.3801495068e-02
0.0119593         	-5.2723920442e-02
0.0129644         	-5.1791960301e-02
0.0139695         	-5.0982003364e-02
0.0149746         	-5.0269249162e-02
0.0159797         	-4.9640097605e-02
0.0169848         	-4.9066860302e-02
0.0179898         	-4.8551694962e-02
0.0189949         	-4.8085062231e-02
0.02              	-4.7654713674e-02
0.021             	-4.7217643683e-02
0.022             	-4.6859462282e-02
0.023             	-4.6530343068e-02
0.024             	-4.6222919214e-02
0.025             	-4.5934842515e-02
0.026             	-4.5669760964e-02
0.027             	-4.5419163010e-02
0.028             	-4.5182669839e-02
0.029             	-4.4959841840e-02
0.03              	-4.4751895839e-02
0.031             	-4.4558098298e-02
0.032             	-4.4378165121e-02
0.033             	-4.4208030730e-02
0.034             	-4.4047855383e-02
0.035             	-4.3895994707e-02
0.036             	-4.3751028600e-02
0.037             	-4.3612146222e-02
0.038             	-4.3480078078e-02
0.039             	-4.3354426944e-02
0.04              	-4.3235714447e-02
0.041             	-4.3123445986e-02
0.042             	-4.3016689541e-02
0.043             	-4.2915573561e-02
0.044             	-4.2819423091e-02
0.045             	-4.2727468339e-02
0.046             	-4.2640786600e-02
0.047             	-4.2556043317e-02
0.048             	-4.2475313912e-02
0.049             	-4.2399117544e-02
0.05              	-4.2326439649e-02
0.051             	-4.2257253850e-02
0.052             	-4.2192036111e-02
0.053             	-4.2130945824e-02
0.054             	-4.2073793540e-02
0.055             	-4.2018843186e-02
0.056             	-4.1969434801e-02
0.057             	-4.1924757708e-02
0.058             	-4.1884561137e-02
0.059             	-4.1850153741e-02
0.06              	-4.1820097875e-02
0.061             	-4.1795754543e-02
0.062             	-4.1777585408e-02
0.063             	-4.1768160994e-02
0.064             	-4.1764819252e-02
0.065             	-4.1768782014e-02
0.066             	-4.1781808807e-02
0.067             	-4.1804651885e-02
0.068             	-4.1839566266e-02
0.0688            	-4.1026915405e-02
0.0697333         	-4.1647124552e-02
0.07076           	-4.2115374757e-02
0.07153           	-4.1050362335e-02
0.072377          	-4.1462469990e-02
0.0733299         	-4.2029988193e-02
0.0742828         	-4.2138044149e-02
0.0752356         	-4.2262097146e-02
0.0761885         	-4.2400533508e-02
0.0771414         	-4.2551345694e-02
0.0780943         	-4.2714914123e-02
0.0790471         	-4.2889907738e-02
0.08              	-4.3077030750e-02
0.081             	-4.3550915102e-02
0.0818261         	-4.2725217222e-02
0.0826163         	-4.2674971966e-02
0.0834854         	-4.3355471109e-02
0.0841206         	-4.1974504235e-02
0.0848424         	-4.2705149338e-02
0.0856402         	-4.3401624991e-02
0.0862929         	-4.2519790800e-02
0.0870143         	-4.3183551947e-02
0.0878259         	-4.4047883356e-02
0.0884056         	-4.2384987980e-02
0.0890498         	-4.3043795555e-02
0.0896261         	-4.2606246153e-02
