# Region type :   patch outlet
# Faces           : 180
# Area            : 7.5000000000e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(myPhi)
0.00011976        	0.0000000000e+00
0.00026382        	0.0000000000e+00
0.000436945       	0.0000000000e+00
0.000645062       	0.0000000000e+00
0.000893202       	0.0000000000e+00
0.00119175        	0.0000000000e+00
0.00154662        	0.0000000000e+00
0.00197577        	0.0000000000e+00
0.00249075        	0.0000000000e+00
0.00311608        	0.0000000000e+00
0.00385016        	0.0000000000e+00
0.00447131        	0.0000000000e+00
0.00517716        	0.0000000000e+00
0.00600065        	0.0000000000e+00
0.00693394        	0.0000000000e+00
0.00793902        	0.0000000000e+00
0.0089441         	0.0000000000e+00
0.00994918        	0.0000000000e+00
0.0109543         	0.0000000000e+00
0.0119593         	0.0000000000e+00
0.0129644         	0.0000000000e+00
0.0139695         	0.0000000000e+00
0.0149746         	0.0000000000e+00
0.0159797         	0.0000000000e+00
0.0169848         	0.0000000000e+00
0.0179898         	0.0000000000e+00
0.0189949         	0.0000000000e+00
0.02              	0.0000000000e+00
0.021             	0.0000000000e+00
0.022             	0.0000000000e+00
0.023             	0.0000000000e+00
0.024             	0.0000000000e+00
0.025             	0.0000000000e+00
0.026             	0.0000000000e+00
0.027             	0.0000000000e+00
0.028             	0.0000000000e+00
0.029             	0.0000000000e+00
0.03              	0.0000000000e+00
0.031             	0.0000000000e+00
0.032             	0.0000000000e+00
0.033             	0.0000000000e+00
0.034             	0.0000000000e+00
0.035             	0.0000000000e+00
0.036             	0.0000000000e+00
0.037             	0.0000000000e+00
0.038             	0.0000000000e+00
0.039             	0.0000000000e+00
0.04              	0.0000000000e+00
0.041             	0.0000000000e+00
0.042             	0.0000000000e+00
0.043             	0.0000000000e+00
0.044             	0.0000000000e+00
0.045             	0.0000000000e+00
0.046             	0.0000000000e+00
0.047             	0.0000000000e+00
0.048             	0.0000000000e+00
0.049             	0.0000000000e+00
0.05              	0.0000000000e+00
0.051             	0.0000000000e+00
0.052             	0.0000000000e+00
0.053             	0.0000000000e+00
0.054             	0.0000000000e+00
0.055             	0.0000000000e+00
0.056             	0.0000000000e+00
0.057             	0.0000000000e+00
0.058             	0.0000000000e+00
0.059             	0.0000000000e+00
0.06              	0.0000000000e+00
0.061             	0.0000000000e+00
0.062             	0.0000000000e+00
0.063             	0.0000000000e+00
0.064             	0.0000000000e+00
0.065             	0.0000000000e+00
0.066             	0.0000000000e+00
0.067             	0.0000000000e+00
0.068             	0.0000000000e+00
0.0688            	0.0000000000e+00
0.0697333         	0.0000000000e+00
0.07076           	0.0000000000e+00
0.07153           	0.0000000000e+00
0.072377          	0.0000000000e+00
0.0733299         	0.0000000000e+00
0.0742828         	0.0000000000e+00
0.0752356         	0.0000000000e+00
0.0761885         	0.0000000000e+00
0.0771414         	0.0000000000e+00
0.0780943         	0.0000000000e+00
0.0790471         	0.0000000000e+00
0.08              	0.0000000000e+00
0.081             	0.0000000000e+00
0.0818261         	0.0000000000e+00
0.0826163         	0.0000000000e+00
0.0834854         	0.0000000000e+00
0.0841206         	0.0000000000e+00
0.0848424         	0.0000000000e+00
0.0856402         	0.0000000000e+00
0.0862929         	0.0000000000e+00
0.0870143         	0.0000000000e+00
0.0878259         	0.0000000000e+00
0.0884056         	0.0000000000e+00
0.0890498         	0.0000000000e+00
0.0896261         	0.0000000000e+00
0.0902745         	0.0000000000e+00
0.0910226         	0.0000000000e+00
0.0917132         	0.0000000000e+00
0.0923506         	0.0000000000e+00
0.0929881         	0.0000000000e+00
0.0936893         	0.0000000000e+00
0.0943904         	0.0000000000e+00
0.0950916         	0.0000000000e+00
0.0959097         	0.0000000000e+00
0.0965914         	0.0000000000e+00
0.0974436         	0.0000000000e+00
0.0980827         	0.0000000000e+00
0.0987218         	0.0000000000e+00
0.0993609         	0.0000000000e+00
0.1               	0.0000000000e+00
0.100714          	0.0000000000e+00
0.101317          	0.0000000000e+00
0.101984          	0.0000000000e+00
0.102735          	0.0000000000e+00
0.103598          	0.0000000000e+00
0.104379          	0.0000000000e+00
0.105058          	0.0000000000e+00
0.105805          	0.0000000000e+00
0.106451          	0.0000000000e+00
0.10704           	0.0000000000e+00
0.107688          	0.0000000000e+00
0.108412          	0.0000000000e+00
0.10924           	0.0000000000e+00
0.110067          	0.0000000000e+00
0.110777          	0.0000000000e+00
0.111486          	0.0000000000e+00
0.11226           	0.0000000000e+00
0.112905          	0.0000000000e+00
0.113615          	0.0000000000e+00
0.114324          	0.0000000000e+00
0.114955          	0.0000000000e+00
0.115515          	0.0000000000e+00
0.116156          	0.0000000000e+00
0.116797          	0.0000000000e+00
0.117331          	0.0000000000e+00
0.117998          	0.0000000000e+00
0.118665          	0.0000000000e+00
0.119333          	0.0000000000e+00
0.12              	0.0000000000e+00
0.12069           	0.0000000000e+00
0.121258          	0.0000000000e+00
0.121862          	0.0000000000e+00
0.122534          	0.0000000000e+00
0.123293          	0.0000000000e+00
0.124129          	0.0000000000e+00
0.124819          	0.0000000000e+00
0.125479          	0.0000000000e+00
0.126205          	0.0000000000e+00
0.126862          	0.0000000000e+00
0.127592          	0.0000000000e+00
0.128322          	0.0000000000e+00
0.129009          	0.0000000000e+00
0.129655          	0.0000000000e+00
0.130302          	0.0000000000e+00
0.130994          	0.0000000000e+00
0.131745          	0.0000000000e+00
0.132335          	0.0000000000e+00
0.132924          	0.0000000000e+00
0.133567          	0.0000000000e+00
0.134282          	0.0000000000e+00
0.135099          	0.0000000000e+00
0.135799          	0.0000000000e+00
0.136499          	0.0000000000e+00
0.137083          	0.0000000000e+00
0.137812          	0.0000000000e+00
0.138541          	0.0000000000e+00
0.139028          	0.0000000000e+00
0.139514          	0.0000000000e+00
0.14              	0.0000000000e+00
0.140556          	0.0000000000e+00
0.141163          	0.0000000000e+00
0.141836          	0.0000000000e+00
0.142535          	0.0000000000e+00
0.143233          	0.0000000000e+00
0.143932          	0.0000000000e+00
0.144601          	0.0000000000e+00
0.145301          	0.0000000000e+00
0.145969          	0.0000000000e+00
